Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
11,AXTI,AXT Inc,,112.88,7.0,6.6112585,9570059,1080.27M,,,,,Low,7384968704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,101.59,98.77,101.59,124.17,129.81,141.10,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.6112585 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
12,HIMX,"Himax Technologies, Inc.",,19.29,1.1900005,6.5745883,5708449,110.12M,,,,,Low,3364676096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,17.36,16.88,17.36,21.22,22.18,24.11,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.5745883 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
13,IPGP,IPG Photonics Corporation,,113.33,6.9800034,6.563238,627717,71.14M,,,,,Low,4810135040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,102.00,99.16,102.00,124.66,130.33,141.66,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.563238 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
14,CENX,Century Aluminum Company,,58.44,3.5200005,6.409324,1646713,96.23M,,,,,Low,5784043008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,52.60,51.13,52.60,64.28,67.21,73.05,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 6.409324 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
15,OPCH,"Option Care Health, Inc.",,20.86,1.1700001,5.942103,6533031,136.28M,,,,,Low,3275593728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,18.77,18.25,18.77,22.95,23.99,26.07,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.942103 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
16,NN,NextNav Inc.,,22.82,1.2299995,5.6970797,2780334,63.45M,,,,,Low,3113490944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,20.54,19.97,20.54,25.10,26.24,28.52,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.6970797 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
17,WAY,Waystar Holding Corp.,,19.60,1.0500011,5.6603837,3071315,60.20M,,,,,Low,3759532800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,17.64,17.15,17.64,21.56,22.54,24.50,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.6603837 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
18,CORT,Corcept Therapeutics Incorporat,,58.22,3.1000023,5.6240973,1422621,82.82M,,,,,Low,6250009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,52.40,50.94,52.40,64.04,66.95,72.78,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.6240973 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
19,SIMO,Silicon Motion Technology Corpo,,252.92,13.160004,5.488824,1919642,485.52M,,,,,Low,8575969792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,227.63,221.30,227.63,278.21,290.86,316.15,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.488824 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
20,LQDA,Liquidia Corporation,,59.98,3.0099983,5.283479,1575360,94.49M,,,,,Low,5333906944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,53.98,52.48,53.98,65.98,68.98,74.97,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.283479 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
21,BEKE,KE Holdings Inc,,18.72,0.92,5.16854,9066568,169.73M,,,,,Low,20041572352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,50,50,46.1,16.85,16.38,16.85,20.59,21.53,23.40,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from ATR extension; stretch from 5x ATR.,Growth fields unavailable; confirm forward estimates.,1,Growth score 45 based on reported revenue/EPS growth and available margins.,Move 5.16854 with RVOL N/A and RSI N/A.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S N/A and PEG N/A; compare against growth and margins.,1,Valuation score 45; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,3,"Risk score 50 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2214_utc.csv,2026-05-19T22:14:42+00:00
