Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
11,AXTI,AXT Inc,Technology / Semiconductor Equipment & Materials,112.88,7.0,6.6112585,9570059,1080.27M,0.79,earnings,"AXT, Inc. Announces Financial Conference Participation for the Second Quarter 2026 | AXT Turned the AI Data Center Boom Into an 8,436% 1-Year Return | AXT Inc. (AXTI) Soars 7.6% on Bargain-Hunting",4,High,7384968704,5.68B,77.01,150.11,12.09,39.1%,N/A,21.3%,-5.9%,N/A,N/A,5,3,2,0,73.00,87.75,95.00,-22.3%,219.35M,53.3%,0.75,147.4%,Next FY estimates available from yfinance,73.47,27.69,53.6,307.7,-15.8,70.0,14.0,51.00M,12.0%,Unknown,Unknown,False,55,19,58,0,50,35,40.8,81.27,73.37,81.27,144.49,134.06,191.90,Support from nearest MA/ATR; hold zone from support to target average; trim from 52-week high; stretch from target high.,Revenue growth 39.1%; EPS growth N/A.,3,Growth score 55 based on reported revenue/EPS growth and available margins.,Move 6.6112585 with RVOL 0.79 and RSI 70.0.,3,"Momentum score 58 reflects RVOL, moving-average position, and RSI.",P/S 77.01 and PEG 12.09; compare against growth and margins.,2,Valuation score 0 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 35 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Unavailable from Yahoo: Analyst Rating,Partial,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
12,HIMX,"Himax Technologies, Inc.",Technology / Semiconductors,19.29,1.1900005,6.5745883,5708449,110.12M,1.32,sector_move,"Asian Equities Traded in the US as American Depositary Receipts Fall Sharply in Friday Trading | Himax (HIMX) Shares Skyrocket, What You Need To Know | Assessing Himax Technologies (NasdaqGS:HIMX) Valuation After A Strong Share Price Surge",2,Low,3364676096,6.63B,4.12,19.29,1.49,-7.5%,-59.8%,30.5%,5.1%,-2.2%,1.7 - Buy,3,2,1,0,17.40,23.70,30.00,22.9%,1.16B,24.3%,1.00,150.0%,Next FY estimates available from yfinance,11.30,9.01,70.8,114.2,-11.5,72.3,11.1,247.07M,7.8%,Unknown,Unknown,False,0,25,61,74,50,34,42.4,15.01,13.94,15.01,23.70,23.70,30.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth -7.5%; EPS growth -59.8%.,2,Growth score 0 based on reported revenue/EPS growth and available margins.,Move 6.5745883 with RVOL 1.32 and RSI 72.3.,3,"Momentum score 61 reflects RVOL, moving-average position, and RSI.",P/S 4.12 and PEG 1.49; compare against growth and margins.,4,Valuation score 74 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 34 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
13,IPGP,IPG Photonics Corporation,Technology / Semiconductor Equipment & Materials,113.33,6.9800034,6.563238,627717,71.14M,1.20,sector_move,"Teradyne, Kulicke and Soffa, Impinj, Microchip Technology, and IPG Photonics Shares Plummet, What You Need To Know | Skyworks Solutions, IPG Photonics, and Lam Research Shares Are Soaring, What You Need To Know | Microchip Technology, NXP Semiconductors, Impinj, IPG Photonics, and Analog Devices Shares Are Falling, What You Need To Know",2,Low,4810135040,3.72B,4.62,49.03,1.83,16.6%,-57.5%,37.6%,2.1%,0.1%,2.0 - Buy,8,5,2,1,92.50,133.25,162.00,17.6%,1.21B,8.9%,2.27,38.9%,Next FY estimates available from yfinance,115.83,94.99,-2.2,19.3,-27.3,50.0,7.5,27.41M,14.4%,Unknown,Unknown,False,14,28,23,67,50,24,37.5,96.33,92.08,96.33,133.25,133.25,162.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 16.6%; EPS growth -57.5%.,2,Growth score 14 based on reported revenue/EPS growth and available margins.,Move 6.563238 with RVOL 1.20 and RSI 50.0.,2,"Momentum score 23 reflects RVOL, moving-average position, and RSI.",P/S 4.62 and PEG 1.83; compare against growth and margins.,4,Valuation score 67 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 24 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
14,CENX,Century Aluminum Company,Basic Materials / Aluminum,58.44,3.5200005,6.409324,1646713,96.23M,0.79,earnings,"Aluminum Prices Have Surged Nearly 90% Since the Iran War Began, and Kiplinger Says Your Portfolio Should Respond | Will Century Aluminum's (CENX) Strong Q1 Profit and Smelter Restarts Reshape Its Investment Narrative? | Century Aluminum (CENX) Reports Q1 Adjusted EPS",4,High,5784043008,5.87B,2.27,5.57,0.06,2.4%,1009.8%,12.2%,13.3%,-3.4%,1.0 - Strong Buy,3,3,0,0,75.00,80.00,86.00,36.9%,4.02B,17.1%,10.49,6.5%,Next FY estimates available from yfinance,59.01,40.53,-1.0,44.2,-14.9,49.0,6.6,68.60M,11.9%,Unknown,Unknown,False,52,25,22,92,50,22,49.3,50.73,48.80,50.73,80.00,80.00,86.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 2.4%; EPS growth 1009.8%.,3,Growth score 52 based on reported revenue/EPS growth and available margins.,Move 6.409324 with RVOL 0.79 and RSI 49.0.,2,"Momentum score 22 reflects RVOL, moving-average position, and RSI.",P/S 2.27 and PEG 0.06; compare against growth and margins.,4,Valuation score 92 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 22 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
15,OPCH,"Option Care Health, Inc.",Healthcare / Medical Care Facilities,20.86,1.1700001,5.942103,6533031,136.28M,2.34,earnings,Independent Director of Option Care Health Picks Up 49% More Stock | A Director Keeps Buying OPCH as It Falls — and the Timing Is His Own | A Look At Option Care Health (OPCH) Valuation After Guidance Cut And Legal Investigations,4,High,3275593728,4.18B,0.58,10.16,1.10,1.3%,3.4%,19.2%,5.4%,3.0%,1.7 - Buy,12,10,2,0,22.00,29.18,39.00,39.9%,6.11B,7.0%,2.05,5.8%,Next FY estimates available from yfinance,26.30,29.36,-20.7,-29.0,-43.3,26.1,7.1,146.85M,9.5%,Unknown,Unknown,False,3,23,6,93,50,20,35.0,17.90,17.16,17.90,29.18,29.18,39.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 1.3%; EPS growth 3.4%.,2,Growth score 3 based on reported revenue/EPS growth and available margins.,Move 5.942103 with RVOL 2.34 and RSI 26.1.,2,"Momentum score 6 reflects RVOL, moving-average position, and RSI.",P/S 0.58 and PEG 1.10; compare against growth and margins.,4,Valuation score 93 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 20 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
16,NN,NextNav Inc.,Technology / Software - Infrastructure,22.82,1.2299995,5.6970797,2780334,63.45M,1.26,earnings,NextNav Demonstrates Exceptional First-Ever Wireless Indoor Timing Solution for Critical Infrastructure | Assessing NextNav (NN) Valuation As Shares Trade Near Fair Value Estimate | NextNav Inc (NN) Q1 2026 Earnings Call Highlights: Strategic Advances Amid Regulatory Challenges,4,High,3113490944,3.08B,772.77,-31.26,N/A,-35.3%,N/A,-101.8%,-1913.9%,-491.7%,1.0 - Strong Buy,2,2,0,0,25.00,27.00,29.00,18.3%,3.20M,-15.5%,-0.73,-52.1%,Next FY estimates available from yfinance,18.19,15.89,25.5,43.6,-5.7,77.0,5.7,80.01M,18.3%,Unknown,Unknown,False,22,0,55,22,50,46,31.9,20.22,19.57,20.22,27.00,27.00,29.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth -35.3%; EPS growth N/A.,2,Growth score 22 based on reported revenue/EPS growth and available margins.,Move 5.6970797 with RVOL 1.26 and RSI 77.0.,3,"Momentum score 55 reflects RVOL, moving-average position, and RSI.",P/S 772.77 and PEG N/A; compare against growth and margins.,2,Valuation score 22 plus analyst target context.,"Risk flags: high short interest, overbought RSI.",3,"Risk score 46 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
17,WAY,Waystar Holding Corp.,Healthcare / Health Information Services,19.60,1.0500011,5.6603837,3071315,60.20M,1.21,guidance,"AI Is Coming for Pharmacy Benefit Managers: Potential Winners and Losers | Waystar Authorizes $200 Million Share Repurchase Program | Waystar Announces $200 Million Share Repurchase Authorization, Reflecting Confidence in Long-Term Outlook",4,High,3759532800,4.88B,3.25,10.61,N/A,22.4%,37.5%,68.7%,25.6%,28.3%,1.3 - Strong Buy,24,23,1,0,27.00,34.74,44.00,77.2%,1.42B,10.7%,1.84,12.5%,Next FY estimates available from yfinance,23.20,30.96,-15.5,-36.7,-52.8,26.9,7.2,139.99M,6.7%,Unknown,Unknown,False,42,89,4,60,50,18,49.9,16.78,16.07,16.78,34.74,34.74,44.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 22.4%; EPS growth 37.5%.,2,Growth score 42 based on reported revenue/EPS growth and available margins.,Move 5.6603837 with RVOL 1.21 and RSI 26.9.,2,"Momentum score 4 reflects RVOL, moving-average position, and RSI.",P/S 3.25 and PEG N/A; compare against growth and margins.,3,Valuation score 60 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 18 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
18,CORT,Corcept Therapeutics Incorporat,Healthcare / Biotechnology,58.22,3.1000023,5.6240973,1422621,82.82M,0.92,sector_move,3 Promising Growth Stocks With Insider Ownership Up To 22% | Wall Street Analysts Believe Corcept (CORT) Could Rally 43.32%: Here's is How to Trade | Duos Technologies Group And 2 Insider Picks For High Growth Potential,2,Low,6250009600,5.59B,8.13,35.72,0.81,4.9%,N/A,98.2%,-30.1%,15.0%,1.5 - Strong Buy,6,5,1,0,50.00,79.00,110.00,35.7%,1.29B,30.5%,1.63,241.4%,Next FY estimates available from yfinance,43.28,59.83,34.5,-2.7,-36.0,75.2,4.6,88.98M,12.9%,Unknown,Unknown,False,26,54,58,64,50,40,50.4,52.86,51.52,52.86,79.00,79.00,110.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 4.9%; EPS growth N/A.,2,Growth score 26 based on reported revenue/EPS growth and available margins.,Move 5.6240973 with RVOL 0.92 and RSI 75.2.,3,"Momentum score 58 reflects RVOL, moving-average position, and RSI.",P/S 8.13 and PEG 0.81; compare against growth and margins.,3,Valuation score 64 plus analyst target context.,Risk flags: overbought RSI.,3,"Risk score 40 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
19,SIMO,Silicon Motion Technology Corpo,Technology / Semiconductors,252.92,13.160004,5.488824,1919642,485.52M,2.48,sector_move,"The AI Stock That Could Turn a $10,000 Investment Into a Retirement-Changing Sum by 2030 | Silicon Motion Technology Corporation (SIMO) Is a Trending Stock: Facts to Know Before Betting on It | Silicon Motion to Attend Upcoming Investor Conferences",2,Low,8575969792,32.16B,8.08,26.15,0.70,105.5%,238.7%,48.1%,15.3%,-11.8%,N/A,11,10,1,0,145.00,237.50,320.00,-6.1%,1.74B,7.6%,9.67,11.0%,Next FY estimates available from yfinance,159.83,113.47,58.2,122.9,-7.7,64.6,8.4,128.26M,1.8%,Unknown,Unknown,False,100,37,61,65,50,22,66.3,210.43,199.81,210.43,295.41,274.02,320.00,Support from nearest MA/ATR; hold zone from support to target average; trim from 52-week high; stretch from target high.,Revenue growth 105.5%; EPS growth 238.7%.,4,Growth score 100 based on reported revenue/EPS growth and available margins.,Move 5.488824 with RVOL 2.48 and RSI 64.6.,3,"Momentum score 61 reflects RVOL, moving-average position, and RSI.",P/S 8.08 and PEG 0.70; compare against growth and margins.,4,Valuation score 65 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 22 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Unavailable from Yahoo: Analyst Rating,Partial,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
20,LQDA,Liquidia Corporation,Healthcare / Drug Manufacturers - Specialty & Generic,59.98,3.0099983,5.283479,1575360,94.49M,1.07,sector_move,"FDA Accepts Viatris' NDA for Fast-Acting Non-Opioid Pain Therapy | Liquidia Insider Sold Shares Worth $4,298,765, According to a Recent SEC Filing | Need To Know: Analysts Are Much More Bullish On Liquidia Corporation (NASDAQ:LQDA)",2,Low,5333906944,5.03B,18.52,10.76,N/A,4158.5%,N/A,91.8%,46.3%,3.3%,1.1 - Strong Buy,7,7,0,0,59.00,65.12,70.00,8.6%,1.17B,61.6%,5.57,60.1%,Next FY estimates available from yfinance,40.21,32.61,49.2,84.0,-0.9,88.0,6.1,62.11M,13.9%,Unknown,Unknown,False,72,78,67,22,50,49,59.2,52.66,50.83,52.66,65.12,65.12,70.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 4158.5%; EPS growth N/A.,4,Growth score 72 based on reported revenue/EPS growth and available margins.,Move 5.283479 with RVOL 1.07 and RSI 88.0.,4,"Momentum score 67 reflects RVOL, moving-average position, and RSI.",P/S 18.52 and PEG N/A; compare against growth and margins.,2,Valuation score 22 plus analyst target context.,Risk flags: overbought RSI.,3,"Risk score 49 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
21,BEKE,KE Holdings Inc,Real Estate / Real Estate Services,18.72,0.92,5.16854,9066568,169.73M,2.09,earnings,KE Holdings Inc (BEKE) Q1 2026 Earnings Call Highlights: Navigating Revenue Declines with ... | KE Q1 Earnings Call Highlights | KE Holdings Inc. Announces First Quarter 2026 Unaudited Financial Results,4,High,20041572352,33.54B,0.21,18.02,0.80,-28.7%,-87.0%,21.4%,-0.6%,-0.9%,1.4 - Strong Buy,23,21,2,0,15.55,20.89,25.06,11.6%,98.54B,10.5%,6.97,20.3%,Next FY estimates available from yfinance,16.55,17.44,13.1,7.3,-10.8,65.9,4.3,2.02B,5.4%,Unknown,Unknown,False,0,16,45,96,50,26,41.5,17.44,16.71,17.44,20.89,20.89,25.06,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth -28.7%; EPS growth -87.0%.,2,Growth score 0 based on reported revenue/EPS growth and available margins.,Move 5.16854 with RVOL 2.09 and RSI 65.9.,2,"Momentum score 45 reflects RVOL, moving-average position, and RSI.",P/S 0.21 and PEG 0.80; compare against growth and margins.,4,Valuation score 96 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 26 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
22,ACMR,"ACM Research, Inc.",Technology / Semiconductor Equipment & Materials,66.45,3.199997,5.0592837,1757384,116.78M,1.32,earnings,"Triata Capital Exits ACM Research Position, According to Recent SEC Filing | ACM Research Is One of the Best Small Cap AI Stocks As Per Wall Street, Here’s Why | Why ACM Research's (NASDAQ:ACMR) Shaky Earnings Are Just The Beginning Of Its Problems",4,High,4592325120,3.76B,4.78,29.49,N/A,34.2%,-18.7%,44.2%,15.6%,-14.8%,1.5 - Strong Buy,8,7,1,0,68.00,73.97,83.80,11.3%,1.41B,22.7%,2.25,34.4%,Next FY estimates available from yfinance,49.93,43.05,33.1,54.4,-7.3,83.0,7.6,54.48M,5.4%,Unknown,Unknown,False,28,35,63,54,50,40,47.0,56.35,53.82,56.35,73.97,73.97,83.80,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 34.2%; EPS growth -18.7%.,2,Growth score 28 based on reported revenue/EPS growth and available margins.,Move 5.0592837 with RVOL 1.32 and RSI 83.0.,3,"Momentum score 63 reflects RVOL, moving-average position, and RSI.",P/S 4.78 and PEG N/A; compare against growth and margins.,3,Valuation score 54 plus analyst target context.,Risk flags: overbought RSI.,3,"Risk score 40 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
23,NYAX,Nayax Ltd.,Technology / Software - Infrastructure,67.00,3.2200012,5.0486064,33004,2.21M,1.28,analyst_upgrade,"Nayax Insider Sold Shares Worth $321,608, According to a Recent SEC Filing | A Look At Nayax (TASE:NYAX) Valuation After Recent Share Price Pullback And Premium P/E Ratio | UBS Adjusts Price Target on Nayax to $68 From $55, Maintains Neutral Rating",3,Medium,2504335360,2.41B,5.88,46.85,N/A,31.7%,-83.9%,48.2%,3.9%,-4.5%,1.8 - Buy,5,3,2,0,68.00,76.95,85.00,14.9%,624.32M,21.3%,1.43,64.4%,Next FY estimates available from yfinance,62.68,52.26,6.9,28.2,-10.7,48.6,5.4,15.89M,0.1%,Unknown,Unknown,True,26,32,28,49,50,28,38.7,62.68,57.95,62.68,76.95,76.95,85.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 31.7%; EPS growth -83.9%.,2,Growth score 26 based on reported revenue/EPS growth and available margins.,Move 5.0486064 with RVOL 1.28 and RSI 48.6.,2,"Momentum score 28 reflects RVOL, moving-average position, and RSI.",P/S 5.88 and PEG N/A; compare against growth and margins.,2,Valuation score 49 plus analyst target context.,Risk flags: low float.,4,"Risk score 28 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
24,PARR,"Par Pacific Holdings, Inc. Comm",Energy / Oil & Gas Refining & Marketing,61.63,2.84,4.83075,1332957,82.15M,0.88,sector_move,"Par Pacific Refinancing Reshapes Debt Maturities And Investor Risk Reward Profile | Forest Avenue Capital Adds to Par Pacific Stake, According to Recent SEC Filing | 3 Stocks to Own If Gas Prices Keep Rising",2,Low,3090391808,4.17B,0.41,7.47,N/A,4.5%,N/A,19.0%,3.3%,1.6%,1.9 - Buy,7,5,2,0,58.00,72.00,80.00,16.8%,7.72B,-7.1%,8.25,-36.1%,Next FY estimates available from yfinance,61.00,43.64,1.0,41.2,-12.4,39.8,6.7,48.67M,9.6%,Unknown,Unknown,False,26,21,18,72,50,20,39.0,61.00,51.31,61.00,72.00,72.00,80.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 4.5%; EPS growth N/A.,2,Growth score 26 based on reported revenue/EPS growth and available margins.,Move 4.83075 with RVOL 0.88 and RSI 39.8.,2,"Momentum score 18 reflects RVOL, moving-average position, and RSI.",P/S 0.41 and PEG N/A; compare against growth and margins.,4,Valuation score 72 plus analyst target context.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 20 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
25,RNG,"Ringcentral, Inc.",Technology / Software - Application,42.59,1.91,4.69518,1698515,72.34M,0.75,earnings,"Guidewire Software, 8x8, DoubleVerify, Five9, and RingCentral Shares Skyrocket, What You Need To Know | Asana, Elastic, C3.ai, Palo Alto Networks, and RingCentral Shares Are Soaring, What You Need To Know | 5 Must-Read Analyst Questions From RingCentral’s Q1 Earnings Call",4,High,3571538176,4.75B,1.40,7.91,0.23,5.3%,N/A,71.6%,8.2%,25.1%,2.4 - Buy,16,6,10,0,30.00,45.40,55.00,6.6%,2.75B,4.5%,5.38,9.1%,Next FY estimates available from yfinance,39.63,31.92,7.5,33.4,-12.3,55.5,7.6,73.12M,20.5%,Unknown,Unknown,False,27,73,31,96,50,30,54.3,39.63,34.50,39.63,45.40,45.40,55.00,Support from nearest MA/ATR; hold zone from support to target average; trim from target average; stretch from target high.,Revenue growth 5.3%; EPS growth N/A.,2,Growth score 27 based on reported revenue/EPS growth and available margins.,Move 4.69518 with RVOL 0.75 and RSI 55.5.,2,"Momentum score 31 reflects RVOL, moving-average position, and RSI.",P/S 1.40 and PEG 0.23; compare against growth and margins.,4,Valuation score 96 plus analyst target context.,Risk flags: high short interest.,4,"Risk score 30 uses available short interest, float, dilution, RSI, and volatility flags.",Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Speculative / news-only,2,Verify whether the move has a durable business catalyst.,Complete,Complete,C:\Users\bhara\Documents\Codex\2026-05-19\files-mentioned-by-the-user-stock\data\generated\us_open\yahoo_gainers_2026-05-19_2234_utc.csv,2026-05-19T22:34:38+00:00
