Rank,Symbol,Company,Theme,Price,Change($),Change(%),Volume,Dollar Volume,RVOL 20D,Catalyst Type,Catalyst Summary,Catalyst Score,Catalyst Confidence,Market Cap,Enterprise Value,PS Ratio,Forward PE,PEG Ratio,Rev Growth YoY,EPS Growth YoY,Gross Margin,Operating Margin,FCF Margin,Analyst Rating,Analyst Count,Buy Count,Hold Count,Sell Count,Target Low,Target Avg,Target High,Implied Upside %,Next FY Revenue Estimate,Next FY Revenue Growth Estimate,Next FY EPS Estimate,Next FY EPS Growth Estimate,Estimate Revision Trend,50-Day MA,200-Day MA,Price vs 50D MA %,Price vs 200D MA %,Dist 52W High %,RSI 14,ATR 14 %,Float Shares,Short % Float,Recent Offering,Dilution Risk,Low Float,Growth Score,Quality Score,Momentum Score,Valuation Score,Liquidity Score,Risk Score,Final Score,Support Price,Stop Review Price,Hold Zone Low,Hold Zone High,Trim / Partial Sell Price,Stretch Sell Price,Price Level Basis,Growth Analyst Note,Growth Analyst Confidence,Growth Analyst Reason,Momentum Analyst Note,Momentum Analyst Confidence,Momentum Analyst Reason,Valuation Analyst Note,Valuation Analyst Confidence,Valuation Analyst Reason,Risk Analyst Note,Risk Analyst Confidence,Risk Analyst Reason,PM Verdict,PM Confidence,PM Reason,Recommendation,Confidence 1-5,Next Research Step,Data Quality Notes,Analyst Data Quality,Input Source,Run Timestamp
11,FLY,Firefly Aerospace Inc.,Industrials / Aerospace & Defense,43.95,+3.52,+8.71%,"9,789,240",430.24M,1.57,press_release,"SpaceX filing boosts space stocks, BofA resumes ServiceNow coverage",2,Low,7.04B,,38.09,,N/A,44.8%,N/A,24.8%,-115.9%,-79.3%,,,,,,,,,,,,,,,32.72,N/A,34.3,N/A,-40.4,67.1,10.0,110.19M,8.7%,False,False,False,60,3,65,60,70,0,52.8,35.16,32.96,35.16,52.74,73.74,65.93,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 44.8%; EPS growth N/A.,2,Growth score 60 based on reported revenue/EPS growth and available margins.,Move +8.71% with RVOL 1.57 and RSI 67.1.,4,"Momentum score 65 reflects RVOL, moving-average position, and RSI.",P/S 38.09 and PEG N/A; compare against growth and margins.,2,Valuation score 60; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
12,ZS,"Zscaler, Inc.",Technology / Software - Infrastructure,174.69,+13.64,+8.47%,"6,138,744",1.07B,2.09,analyst_upgrade,3 Growth Stocks Insiders Are Betting On,3,Medium,28.09B,,9.36,,1.73,25.9%,N/A,76.6%,-6.2%,34.0%,,,,,,,,,,,,,,,142.79,226.25,22.3,-22.8,-48.2,77.8,5.0,104.21M,9.8%,False,False,False,44,68,80,60,70,0,60.0,157.22,152.85,157.22,192.16,337.24,218.36,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 25.9%; EPS growth N/A.,1,Growth score 44 based on reported revenue/EPS growth and available margins.,Move +8.47% with RVOL 2.09 and RSI 77.8.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 9.36 and PEG 1.73; compare against growth and margins.,2,Valuation score 60; analyst target data unavailable.,Risk flags: overbought RSI.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
13,FDS,FactSet Research Systems Inc.,Financial Services / Financial Data & Stock Exchanges,224.35,+11.77,+5.54%,"886,845",198.96M,1.04,press_release,"Heron Bay Doubles Down on Vontier, Buying 1.37 Million Shares",2,Low,8.17B,,3.40,,1.01,7.1%,-4.5%,51.9%,29.8%,24.6%,,,,,,,,,,,,,,,218.02,271.01,2.9,-17.2,-51.9,46.9,5.1,36.30M,15.8%,False,False,False,6,79,80,65,70,0,52.5,218.02,195.75,218.02,247.23,466.42,281.56,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 7.1%; EPS growth -4.5%.,1,Growth score 6 based on reported revenue/EPS growth and available margins.,Move +5.54% with RVOL 1.04 and RSI 46.9.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 3.40 and PEG 1.01; compare against growth and margins.,3,Valuation score 65; analyst target data unavailable.,Risk flags: high short interest.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
14,TME,Tencent Music Entertainment Gro,Communication Services / Internet Content & Information,9.06,+0.59,+6.97%,"15,631,029",141.62M,1.64,press_release,"Green Court Reduces New Oriental Education Stake, According to Recent SEC Filing",2,Low,14.28B,,0.43,,1.76,7.3%,-51.8%,44.4%,30.4%,13.8%,,,,,,,,,,,,,,,9.90,17.24,-8.5,-47.4,-65.2,47.6,4.1,1.14B,3.9%,False,False,False,6,67,65,50,70,0,48.8,8.32,8.13,8.32,9.80,26.03,10.92,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 7.3%; EPS growth -51.8%.,1,Growth score 6 based on reported revenue/EPS growth and available margins.,Move +6.97% with RVOL 1.64 and RSI 47.6.,4,"Momentum score 65 reflects RVOL, moving-average position, and RSI.",P/S 0.43 and PEG 1.76; compare against growth and margins.,2,Valuation score 50; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
15,STUB,"StubHub Holdings, Inc.",Communication Services / Internet Content & Information,9.33,+0.51,+5.78%,"9,389,376",87.60M,1.90,earnings,Why StubHub Holdings (STUB) Is Up 14.4% After Returning To Profitability And Cutting Debt,4,High,3.49B,,1.94,,N/A,12.2%,N/A,82.3%,5.8%,45.2%,,,,,,,,,,,,,,,7.16,N/A,30.3,N/A,-66.5,77.5,6.4,255.38M,7.6%,False,False,False,32,80,80,50,60,0,62.0,8.14,7.84,8.14,10.52,27.85,12.32,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 12.2%; EPS growth N/A.,1,Growth score 32 based on reported revenue/EPS growth and available margins.,Move +5.78% with RVOL 1.90 and RSI 77.5.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 1.94 and PEG N/A; compare against growth and margins.,2,Valuation score 50; analyst target data unavailable.,Risk flags: overbought RSI.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,Watchlist candidate,3,Confirm catalyst quality and watch next-session follow-through.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
16,TMDX,"TransMedics Group, Inc.",Healthcare / Medical Devices,68.34,+5.14,+8.13%,"1,927,251",131.71M,1.04,fda_approval,Assessing TransMedics Group (TMDX) Valuation After A Sharp One Year Share Price Decline,5,High,2.36B,,3.71,,N/A,21.2%,-71.5%,59.1%,7.6%,17.1%,,,,,,,,,,,,,,,102.56,120.58,-33.4,-43.3,-56.2,17.4,8.7,33.45M,37.5%,False,False,False,18,59,65,60,70,10,54.8,56.45,53.48,56.45,80.23,156.03,98.07,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 21.2%; EPS growth -71.5%.,1,Growth score 18 based on reported revenue/EPS growth and available margins.,Move +8.13% with RVOL 1.04 and RSI 17.4.,4,"Momentum score 65 reflects RVOL, moving-average position, and RSI.",P/S 3.71 and PEG N/A; compare against growth and margins.,2,Valuation score 60; analyst target data unavailable.,Risk flags: high short interest.,4,"Risk score 10 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
17,YSS,York Space Systems Inc.,Industrials / Aerospace & Defense,25.93,+1.91,+7.95%,"2,224,552",57.68M,0.82,merger_acquisition,York Space Systems Shares Rise on ALL.SPACE Acquisition Agreement (YSS),5,High,3.31B,,8.35,,N/A,9.5%,N/A,18.4%,-89.9%,N/A,,,,,,,,,,,,,,,28.67,N/A,-9.6,N/A,-41.8,41.1,16.1,87.37M,9.3%,False,False,False,30,15,50,50,60,0,59.5,17.58,15.49,17.58,34.28,44.55,46.80,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 9.5%; EPS growth N/A.,1,Growth score 30 based on reported revenue/EPS growth and available margins.,Move +7.95% with RVOL 0.82 and RSI 41.1.,3,"Momentum score 50 reflects RVOL, moving-average position, and RSI.",P/S 8.35 and PEG N/A; compare against growth and margins.,2,Valuation score 50; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
18,NOW,"ServiceNow, Inc.",Technology / Software - Application,103.42,+8.35,+8.78%,"50,324,536",5.20B,1.69,press_release,"SpaceX filing boosts space stocks, BofA resumes ServiceNow coverage",2,Low,106.66B,,7.64,,0.92,22.1%,2.3%,76.6%,13.3%,36.6%,,,,,,,,,,,,,,,99.32,144.37,4.1,-28.4,-51.1,67.5,4.7,1.03B,4.8%,False,False,False,20,84,80,75,70,0,53.5,99.32,91.27,99.32,113.14,211.49,127.72,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 22.1%; EPS growth 2.3%.,1,Growth score 20 based on reported revenue/EPS growth and available margins.,Move +8.78% with RVOL 1.69 and RSI 67.5.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 7.64 and PEG 0.92; compare against growth and margins.,3,Valuation score 75; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
19,FICO,Fair Isaac Corporation,Technology / Software - Application,1181.82,+83.23,+7.58%,"428,654",506.59M,1.04,press_release,3 Market-Beating Stocks to Consider Right Now,2,Low,27.41B,,12.15,,0.93,38.7%,69.0%,84.2%,58.2%,32.4%,,,,,,,,,,,,,,,1080.37,1448.86,9.4,-18.4,-46.7,75.5,4.4,22.52M,8.0%,False,False,False,75,100,80,75,70,0,56.5,1080.37,1051.82,1080.37,1285.82,2217.30,1441.82,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 38.7%; EPS growth 69.0%.,3,Growth score 75 based on reported revenue/EPS growth and available margins.,Move +7.58% with RVOL 1.04 and RSI 75.5.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 12.15 and PEG 0.93; compare against growth and margins.,3,Valuation score 75; analyst target data unavailable.,Risk flags: overbought RSI.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
20,CTSH,Cognizant Technology Solutions ,Technology / Information Technology Services,51.40,+4.26,+9.05%,"14,369,391",738.51M,1.87,press_release,Here’s Why Hedge Funds Are Still Bullish On Accenture (ACN) Despite Hitting 52-Week Low,2,Low,24.31B,,1.14,,0.77,5.8%,3.6%,33.5%,15.6%,8.9%,,,,,,,,,,,,,,,57.54,69.24,-10.7,-25.8,-40.6,38.2,4.0,472.69M,8.7%,False,False,False,7,44,65,65,70,0,50.2,47.29,46.26,47.29,55.51,86.53,61.68,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 5.8%; EPS growth 3.6%.,1,Growth score 7 based on reported revenue/EPS growth and available margins.,Move +9.05% with RVOL 1.87 and RSI 38.2.,4,"Momentum score 65 reflects RVOL, moving-average position, and RSI.",P/S 1.14 and PEG 0.77; compare against growth and margins.,3,Valuation score 65; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
21,MDB,"MongoDB, Inc.",Technology / Software - Infrastructure,330.00,+17.84,+5.72%,"2,665,363",879.57M,1.67,press_release,MongoDB (MDB) Rises As Market Takes a Dip: Key Facts,2,Low,26.52B,,10.76,,1.67,26.7%,2.2%,71.7%,0.0%,18.8%,,,,,,,,,,,,,,,263.84,320.41,25.1,3.0,-25.8,82.4,5.3,78.21M,4.4%,False,False,False,24,61,70,60,70,0,53.5,320.41,286.27,320.41,364.98,444.74,417.45,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 26.7%; EPS growth 2.2%.,1,Growth score 24 based on reported revenue/EPS growth and available margins.,Move +5.72% with RVOL 1.67 and RSI 82.4.,4,"Momentum score 70 reflects RVOL, moving-average position, and RSI.",P/S 10.76 and PEG 1.67; compare against growth and margins.,2,Valuation score 60; analyst target data unavailable.,Risk flags: overbought RSI.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
22,QLYS,"Qualys, Inc.",Technology / Software - Infrastructure,97.98,+7.96,+8.84%,"1,057,972",103.66M,1.27,press_release,"Zacks Industry Outlook Highlights CrowdStrike, Fortinet, Okta and Qualys",2,Low,3.45B,,5.04,,3.53,9.8%,10.1%,83.2%,35.0%,34.7%,,,,,,,,,,,,,,,89.52,120.16,9.4,-18.5,-37.0,66.2,5.4,34.97M,18.3%,False,False,False,14,100,80,35,70,0,49.5,89.52,84.75,89.52,108.56,155.52,124.43,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 9.8%; EPS growth 10.1%.,1,Growth score 14 based on reported revenue/EPS growth and available margins.,Move +8.84% with RVOL 1.27 and RSI 66.2.,4,"Momentum score 80 reflects RVOL, moving-average position, and RSI.",P/S 5.04 and PEG 3.53; compare against growth and margins.,1,Valuation score 35; analyst target data unavailable.,Risk flags: high short interest.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
23,TRI,Thomson Reuters Corp,Industrials / Specialty Business Services,90.00,+7.27,+8.79%,"1,938,729",174.49M,0.88,press_release,Thomson Reuters (TRI) and Sterne Kessler Launch AI Patent Tool,2,Low,39.29B,,5.13,,6.25,9.8%,5.6%,39.5%,30.3%,21.9%,,,,,,,,,,,,,,,90.60,125.62,-0.7,-28.4,-57.5,51.8,6.0,127.31M,N/A,False,False,False,12,71,65,35,70,0,47.2,79.20,76.50,79.20,100.80,211.76,117.00,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 9.8%; EPS growth 5.6%.,1,Growth score 12 based on reported revenue/EPS growth and available margins.,Move +8.79% with RVOL 0.88 and RSI 51.8.,4,"Momentum score 65 reflects RVOL, moving-average position, and RSI.",P/S 5.13 and PEG 6.25; compare against growth and margins.,1,Valuation score 35; analyst target data unavailable.,No major row-level risk flag detected; still verify news and liquidity.,4,"Risk score 0 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
24,RIG,Transocean Ltd (Switzerland),Energy / Oil & Gas Drilling,7.58,+0.54,+7.67%,"58,991,868",447.16M,1.58,press_release,Chevron’s CEO Just Warned of Physical Oil Shortages. This $6 Offshore Driller Is Up 171% and Still Trades Below Book Value,2,Low,8.46B,,2.04,,1.17,19.3%,N/A,42.2%,26.7%,26.2%,,,,,,,,,,,,,,,6.49,4.69,16.8,61.7,-0.8,65.7,4.4,916.81M,20.7%,False,False,False,38,73,100,65,70,10,45.5,6.91,6.75,6.91,8.25,7.64,9.25,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth 19.3%; EPS growth N/A.,1,Growth score 38 based on reported revenue/EPS growth and available margins.,Move +7.67% with RVOL 1.58 and RSI 65.7.,4,"Momentum score 100 reflects RVOL, moving-average position, and RSI.",P/S 2.04 and PEG 1.17; compare against growth and margins.,3,Valuation score 65; analyst target data unavailable.,Risk flags: high short interest.,4,"Risk score 10 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
25,BORR,Borr Drilling Limited,Energy / Oil & Gas Drilling,6.61,+0.35,+5.59%,"8,715,340",57.61M,1.30,press_release,3 Hyped Up  Stocks That Concern Us,2,Low,2.04B,,2.00,,N/A,-1.4%,N/A,52.4%,25.9%,15.6%,,,,,,,,,,,,,,,5.70,4.17,15.9,58.6,-0.7,65.9,4.3,232.62M,8.6%,True,True,False,22,69,100,50,60,40,15.0,6.04,5.90,6.04,7.18,6.66,8.03,Support from nearest MA/ATR; hold zone from support to 2x ATR; trim from 52-week high; stretch from 5x ATR.,Revenue growth -1.4%; EPS growth N/A.,1,Growth score 22 based on reported revenue/EPS growth and available margins.,Move +5.59% with RVOL 1.30 and RSI 65.9.,4,"Momentum score 100 reflects RVOL, moving-average position, and RSI.",P/S 2.00 and PEG N/A; compare against growth and margins.,2,Valuation score 50; analyst target data unavailable.,Risk flags: dilution risk.,3,"Risk score 40 uses available short interest, float, dilution, RSI, and volatility flags.",Needs confirmation,2,Fill missing analyst or estimate fields.,Needs confirmation,2,Fill missing analyst or estimate fields.,"Missing: Analyst Rating, Target Avg, Next FY Revenue Growth Estimate, Next FY EPS Growth Estimate",Unavailable,C:\Users\bhara\Downloads\stock_gainers_2026-05-18.csv,2026-05-19T21:42:41+00:00
